                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                    1.5,                  1.394,                      0,                0.67694,                0.98803,                0.98285,                0.96859,                 0.9885,                0.59352,                0.89057,                0.86911,                0.86347,                0.56196,                 1.4058,                 1.7526,                      0,                0.59259,                0.98626,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.4728,                 1.3308,                      0,                0.68233,                 1.0108,                0.99447,                0.96859,                 0.9923,                0.59427,                0.90825,                0.88482,                0.87994,                 0.5923,                 1.4145,                 1.4382,                      0,                0.59424,                0.99416,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.5033,                 1.3226,                      0,                0.67792,                 0.9969,                0.99465,                 0.9732,                0.98807,                0.59426,                 0.9309,                0.90052,                0.89511,                0.75107,                 1.3857,                 1.0003,                      0,                0.59313,                0.98964,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.4376,                 1.3715,                      0,                0.66982,                0.98649,                      1,                0.98506,                0.98788,                0.58713,                 0.9097,                0.89662,                 0.8863,                 0.6446,                 1.3923,                 1.3951,                      0,                0.59384,                0.98262,               0.001208,               0.001208,               0.001208
                     83,                 1.5163,                 1.3379,                      0,                0.67393,                 1.0039,                0.99417,                0.97382,                 0.9908,                0.58564,                0.81223,                0.79058,                0.72415,                0.43532,                 1.4504,                 2.1605,                      0,                0.60849,                0.99437,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.4834,                 1.4475,                      0,                0.69207,                0.99394,                0.99686,                0.97382,                0.99017,                0.59651,                 0.9332,                0.91099,                0.89367,                0.76066,                 1.4443,                0.97278,                      0,                0.62582,                 1.0004,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.5025,                 1.3996,                      0,                 0.6936,                0.99395,                 0.9852,                0.96859,                0.98662,                0.56685,                0.92022,                0.90576,                0.87577,                0.59742,                  1.487,                 1.3462,                      0,                0.61105,                 1.0084,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.4762,                 1.3348,                      0,                0.69929,                0.99472,                0.98937,                0.97414,                0.99152,                0.59195,                0.92559,                0.91173,                 0.8799,                0.59032,                 1.4204,                 1.3937,                      0,                0.59853,                0.99473,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.4533,                 1.3177,                      0,                0.67123,                0.97579,                0.98228,                0.97382,                0.99217,                 0.5972,                0.87689,                 0.8534,                0.81672,                0.72347,                 1.4697,                 1.1325,                      0,                0.60065,                0.99923,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.4575,                    1.4,                      0,                0.66805,                 1.0033,                0.99104,                0.96859,                0.98908,                0.59698,                 0.9354,                0.90973,                0.90952,                0.67979,                 1.4234,                 1.2068,                      0,                0.58108,                0.99214,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.4719,                 1.3787,                      0,                0.69179,                0.97842,                 0.9949,                0.97382,                0.98911,                0.59512,                0.94669,                0.92973,                 0.9397,                0.69124,                 1.4386,                 1.0572,                      0,                0.58818,                 1.0001,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.4568,                 1.2642,                      0,                0.67653,                0.99191,                0.98425,                0.98166,                0.98743,                0.59591,                 0.8583,                0.85626,                0.83714,                 0.6837,                 1.4257,                 1.3008,                      0,                0.59259,                0.99896,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.4592,                 1.4386,                      0,                0.67789,                 1.0032,                      1,                 0.9748,                0.98571,                0.57845,                 0.9494,                0.93194,                0.91133,                 0.5542,                 1.4461,                 1.5053,                      0,                0.59175,                0.99298,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.4699,                 1.3644,                      0,                 0.6654,                 1.0059,                0.98929,                0.96724,                0.97969,                0.56487,                0.93819,                0.91099,                0.90435,                0.67996,                 1.4613,                 1.1728,                      0,                0.62444,                 1.0014,               0.001109,               0.001109,               0.001109
                     93,                 1.4827,                 1.3486,                      0,                0.68852,                 1.0073,                0.98938,                0.97564,                0.99069,                0.58597,                0.88674,                0.86084,                0.82127,                0.71706,                 1.4734,                  1.114,                      0,                0.60727,                 1.0018,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.4671,                 1.3344,                      0,                0.66926,                0.99086,                0.98921,                0.98429,                0.99253,                0.60204,                0.92005,                0.90374,                0.89795,                0.58515,                 1.4218,                  1.629,                      0,                0.59146,                0.98795,              0.0010892,              0.0010892,              0.0010892
                     95,                  1.473,                 1.2281,                      0,                0.66314,                0.99065,                0.98757,                0.98429,                0.98846,                0.60319,                0.89219,                0.87958,                0.82379,                0.70466,                 1.4332,                 1.1179,                      0,                0.58314,                0.98691,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.4666,                 1.2464,                      0,                0.65979,                0.99454,                      1,                0.97272,                0.98797,                 0.6061,                0.95205,                0.94764,                0.92732,                0.74123,                 1.4157,                0.89882,                      0,                0.59727,                0.98125,              0.0010694,              0.0010694,              0.0010694
